060855003002017,060855003002017,060855003002017,+37.3302708,-121.9078366,112,2
060855003002018,060855003002018,060855003002018,+37.3302352,-121.9086938,86,5
060855003002019,060855003002019,060855003002019,+37.3301942,-121.9094709,109,24
060855003002020,060855003002020,060855003002020,+37.3306388,-121.9108933,74,77
060855003002021,060855003002021,060855003002021,+37.3292375,-121.9107963,22,61
060855003002022,060855003002022,060855003002022,+37.3283566,-121.9105795,79,27
060855003002023,060855003002023,060855003002023,+37.3274820,-121.9088774,171,6
060855003002024,060855003002024,060855003002024,+37.3275269,-121.9078900,94,12
060855003002025,060855003002025,060855003002025,+37.3275783,-121.9068349,106,26
060855003002026,060855003002026,060855003002026,+37.3283306,-121.9060634,33,4
060855003002027,060855003002027,060855003002027,+37.3275588,-121.9105196,144,10
060855003002028,060855003002028,060855003002028,+37.3266087,-121.9104496,161,15
060855004001000,060855004001000,060855004001000,+37.3449813,-121.9201140,461,270
060855004001001,060855004001001,060855004001002,+37.3435580,-121.9221809,60,81
060855004001002,060855004001002,060855004001002,+37.3428021,-121.9213395,37,0
060855004001003,060855004001003,060855004001006,+37.3440531,-121.9227000,78,1
060855004001004,060855004001004,060855004001006,+37.3425063,-121.9178809,21,0
060855004001005,060855004001005,060855004001006,+37.3415874,-121.9155793,17,0
060855004001006,060855004001006,060855004001006,+37.3408176,-121.9191706,69,0
060855004001007,060855004001007,060855004001007,+37.3418087,-121.9202682,27,247
060855004001008,060855004001008,060855004001008,+37.3408439,-121.9216780,23,48
060855004001009,060855004001009,060855004001009,+37.3418155,-121.9227803,23,333
060855004001010,060855004001010,060855004001012,+37.3406972,-121.9168506,103,26
060855004001011,060855004001011,060855004001012,+37.3397328,-121.9157968,60,0
060855004001012,060855004001012,060855004001012,+37.3406318,-121.9145401,50,0
060855004001013,060855004001013,060855004001013,+37.3388677,-121.9170323,31,80
060855004001014,060855004001014,060855004001015,+37.3398316,-121.9180878,70,190
060855004001015,060855004001015,060855004001015,+37.3388849,-121.9194469,64,0
060855004001016,060855004001016,060855004001016,+37.3398564,-121.9205521,19,44
060855004001017,060855004001017,060855004001017,+37.3381236,-121.9183290,23,45
060855004002000,060855004002000,060855004002000,+37.3412449,-121.9265610,18,26
060855004002001,060855004002001,060855004002001,+37.3402701,-121.9271562,38,6
060855004002002,060855004002002,060855004002002,+37.3406707,-121.9243400,109,5
060855004002003,060855004002003,060855004002004,+37.3394052,-121.9260119,67,2
060855004002004,060855004002004,060855004002004,+37.3390739,-121.9287982,187,0
060855004002005,060855004002005,060855004002005,+37.3381504,-121.9276863,132,2
060855004002006,060855004002006,060855004002007,+37.3371966,-121.9265571,88,1
060855004002007,060855004002007,060855004002007,+37.3384515,-121.9248792,78,0
060855004002008,060855004002008,060855004002008,+37.3397186,-121.9232098,67,186
060855004002009,060855004002009,060855004002009,+37.3387468,-121.9220622,9,15
060855004002010,060855004002010,060855004002011,+37.3362322,-121.9253932,18,3
